n_estimators,train-mlogloss-mean,train-mlogloss-std,test-mlogloss-mean,test-mlogloss-std
40,0.5480736666666667,0.0064604897819145555,0.6966516666666666,0.013539676764564555
41,0.541837,0.006283425870229305,0.69291,0.013112495719732373
42,0.536164,0.006513824682933975,0.6897046666666666,0.01317394019351164
43,0.5306913333333334,0.006197295449539967,0.6865060000000001,0.013122365056142395
44,0.5256693333333334,0.0060516290001581775,0.6837973333333333,0.0134072804185719
45,0.5207353333333334,0.006179509006025952,0.6811356666666666,0.013408344822866467
46,0.5159936666666667,0.006322772668871011,0.6784716666666667,0.013297040781901635
47,0.5114386666666667,0.006692186953621546,0.676085,0.013212813881481386
48,0.507249,0.006270833596899219,0.6739350000000001,0.013056005821077136
49,0.502685,0.0065064036661328355,0.6717153333333333,0.013005666107081518
50,0.498815,0.006278319732752278,0.6695216666666667,0.012872361330471678
51,0.49465166666666666,0.00588856147307832,0.6674173333333334,0.012952232274356752
52,0.49085333333333336,0.0057829709396545375,0.6656733333333333,0.013348574563933376
53,0.486832,0.005827803073772022,0.6639306666666668,0.012990487040736989
54,0.483643,0.0061901697876552645,0.6621713333333333,0.012849456598972927
55,0.48038800000000004,0.006368656373207771,0.6606120000000001,0.012868065692506692
56,0.476821,0.006234410477342671,0.6597806666666667,0.012690146737615858
57,0.4733326666666667,0.006235563184045376,0.6584483333333333,0.01265660200141498
58,0.4699963333333333,0.006163349756603313,0.6570236666666667,0.012660853850440827
59,0.46659733333333336,0.006589298512655871,0.6556443333333334,0.012348785536327903
60,0.46371433333333334,0.0063212214185410535,0.6546676666666668,0.012131590506698736
61,0.4605926666666667,0.006036535559040102,0.6535413333333334,0.012527348464681396
62,0.45708966666666667,0.0057553780839219165,0.6523473333333333,0.012444572078710569
63,0.45397933333333335,0.005463743059681922,0.6515533333333333,0.01275626330692319
64,0.451269,0.005149550724739653,0.6508050000000001,0.012482838806404073
65,0.44828,0.005017638156211212,0.6498973333333333,0.01242906524598244
66,0.44544066666666665,0.004925870774684301,0.6491073333333333,0.012280972880390543
67,0.44251766666666664,0.004790235368840332,0.6481326666666666,0.011736645867632805
68,0.4396453333333333,0.004653254082419698,0.6473970000000001,0.011627793341816862
69,0.4369593333333333,0.004397867463012302,0.6467056666666666,0.011571956974609875
70,0.434518,0.0043157461309334105,0.6459966666666667,0.011578463033676907
71,0.432282,0.004282946260072211,0.6453616666666666,0.011611117584261883
72,0.4297866666666667,0.004344049902516724,0.644953,0.011807683261334525
73,0.4272766666666667,0.004699819878345228,0.644446,0.011776438708992918
74,0.4246356666666667,0.005113256648707904,0.6437240000000001,0.011696520878734268
75,0.4223766666666667,0.005396498947362906,0.6430716666666667,0.01169950338927063
76,0.419819,0.005189054120614537,0.6428743333333333,0.011742095449942298
77,0.41734833333333327,0.005060095475603419,0.6424756666666666,0.0117242801437397
78,0.415049,0.005115267604599673,0.6420423333333334,0.011738859522495712
79,0.41290733333333335,0.004603939641461686,0.6417163333333333,0.011868265369837724
80,0.41123233333333337,0.0044042994398150815,0.6415536666666667,0.011952506273674203
81,0.40913099999999997,0.004527843416020476,0.6413743333333334,0.011873846170844924
82,0.40703433333333333,0.004631030290934795,0.6410646666666667,0.011835806727422045
83,0.4047636666666667,0.004780990297231554,0.6410203333333334,0.011658095794577952
84,0.40254733333333337,0.004862099706459694,0.6407526666666667,0.011661955277263283
85,0.40026633333333334,0.0049827087902955865,0.6405206666666666,0.011726748805852203
86,0.39806933333333333,0.004550923740175055,0.6404326666666667,0.012075473802528637
87,0.396207,0.004710099857398628,0.6403139999999999,0.012288942916296732
88,0.394293,0.004867072220544898,0.6402456666666666,0.012406640865099445
89,0.39194466666666666,0.0048157337504844905,0.6400566666666666,0.012379456755268175
90,0.38989433333333334,0.0045312672497756,0.6398563333333332,0.012244666712037888
91,0.3882023333333333,0.004596234424927521,0.639617,0.012355590178808395
92,0.3863193333333333,0.004762320186165096,0.6396263333333333,0.012453956274569494
93,0.38428900000000005,0.004960536530121192,0.639246,0.012516267920856737
94,0.3826873333333333,0.005213757975033205,0.639206,0.012762920224880608
95,0.3808766666666667,0.00540053184623721,0.6389166666666667,0.012565382560387441
96,0.37892166666666666,0.005238969449127279,0.6387716666666666,0.012727692467826
97,0.3771093333333333,0.005439271662844412,0.6387633333333333,0.012763253825816584
98,0.37501133333333336,0.005108091707172922,0.6385703333333334,0.01281169698188166
99,0.37309333333333333,0.00507797186110974,0.63843,0.012975228809800088
100,0.370997,0.005030064081765442,0.638429,0.012878074700823847
101,0.3689726666666666,0.0051753040061000835,0.63829,0.012893512658180716
102,0.3674543333333333,0.004774378935759314,0.6381716666666667,0.013020658363624434
